pcode_ts,pcode_st,name_st,name_ts,candidate_name,party_name,votes
MMR017023,MMR017,Ayeyarwady,Pyapon,U Soe Naing,Union Solidarity And Development Party,97669
MMR017023,MMR017,Ayeyarwady,Pyapon,U Saw Kyaw Tun,National Unity Party (NUP),34101
MMR017003,MMR017,Ayeyarwady,Thabaung,U Myo Kyaw,National Democratic Force,11027
MMR017003,MMR017,Ayeyarwady,Thabaung,U Win Than,Union Solidarity And Development Party,42217
MMR017003,MMR017,Ayeyarwady,Thabaung,U Nyein Maung,National Unity Party (NUP),42217
MMR017017,MMR017,Ayeyarwady,Wakema,U Khin Maung Aye,Union Solidarity And Development Party,74046
MMR017017,MMR017,Ayeyarwady,Wakema,U Than Aung,National Unity Party (NUP),60548
MMR017006,MMR017,Ayeyarwady,Yegyi,U Thet Naing Oo,National Democratic Force,5480
MMR017006,MMR017,Ayeyarwady,Yegyi,U Maung Maung Tin,Union Solidarity And Development Party,53864
MMR017006,MMR017,Ayeyarwady,Yegyi,U Tin Soe,National Unity Party (NUP),37823
MMR017009,MMR017,Ayeyarwady,Zalun,U Tin Htut,Union Solidarity And Development Party,77908
MMR017009,MMR017,Ayeyarwady,Zalun,U Hla Myint,National Unity Party (NUP),14555
MMR007001,MMR111,Bago,Bago,U Kyin Thein,Union Solidarity And Development Party,88265
MMR007001,MMR111,Bago,Bago,U Aung Myo Win,National Democratic Force,30966
MMR007001,MMR111,Bago,Bago,U Hla Myint,National Unity Party (NUP),36906
MMR007007,MMR111,Bago,Daik-U,U Min Swe,Union Solidarity And Development Party,44773
MMR007007,MMR111,Bago,Daik-U,U Kyi Kha,National Unity Party (NUP),23462
MMR007007,MMR111,Bago,Daik-U,U Thein Aung,National Democratic Force,8835
MMR007003,MMR111,Bago,Kawa,U San Kyaw,National Democratic Force,9665
MMR007003,MMR111,Bago,Kawa,U Win Sein,Union Solidarity And Development Party,62199
MMR007003,MMR111,Bago,Kawa,U Sein Thaung,National Unity Party (NUP),27278
MMR007011,MMR111,Bago,Kyaukkyi,U Thuya Myo Khin,Union Solidarity And Development Party,13706
MMR007011,MMR111,Bago,Kyaukkyi,U Nyan Swe Win,National Unity Party (NUP),28467
MMR007006,MMR111,Bago,Kyauktaga,U Min Min Zaw,National Democratic Force,11381
MMR007006,MMR111,Bago,Kyauktaga,?Dr.Khin Maung Swe,Union Solidarity And Development Party,58089
MMR007006,MMR111,Bago,Kyauktaga,U Tun Yee,National Unity Party (NUP),43013
MMR007005,MMR111,Bago,Nyaunglebin,U Aung Zaw Htut,National Democratic Force,8352
MMR007005,MMR111,Bago,Nyaunglebin,U Soe Myint,Union Solidarity And Development Party,42956
MMR007005,MMR111,Bago,Nyaunglebin,U Than Kyaw,National Unity Party (NUP),23113
MMR007005,MMR111,Bago,Nyaunglebin,U San Aung Kyi,Independent Candidates,2380
MMR007013,MMR111,Bago,Oktwin,U Nyi Nyi Myint,Union Solidarity And Development Party,48792
MMR007013,MMR111,Bago,Oktwin,U Tin Myint,National Unity Party (NUP),19267
MMR007013,MMR111,Bago,Oktwin,U Min Thein Zaw,Democracy And Peace Party,3379
MMR007012,MMR111,Bago,Phyu,U Tin Swe,Democracy And Peace Party,6482
MMR007012,MMR111,Bago,Phyu,U Nyunt Hlaing,Union Solidarity And Development Party,83536
MMR007012,MMR111,Bago,Phyu,U Than Htay,National Unity Party (NUP),27842
MMR007008,MMR111,Bago,Shwegyin,Saw Sin Bak,National Democratic Force,2394
MMR007008,MMR111,Bago,Shwegyin,U Tin Shwe,Union Solidarity And Development Party,15091
